gene,mean_effect,median_effect,n_samples_positive,n_samples_negative
TXNDC16,-0.018657222,-0.016215548,1,3
GNB1L,-0.035559624,-0.016287178,1,4
NAB2,-0.04810367,-0.016419986,1,4
JUP,0.009048694,-0.016557507,1,4
TMEM156,0.005106602,-0.016559713,1,4
MIRLET7BHG,-0.07873175,-0.016659524,1,3
DTWD1,-0.045864146,-0.016732693,1,3
PPM1D,0.01133797,-0.016738586,1,3
TCHP,-0.008790809,-0.016899474,1,4
SLC41A2,-0.029265644,-0.016914986,1,4
STBD1,-0.05562523,-0.017171577,1,3
C5orf34,0.028786121,-0.017198322,1,4
DOK2,-0.008818179,-0.017247405,1,4
CEP85L,0.02629585,-0.017327629,1,4
NOS1AP,-0.05523242,-0.017379647,1,3
SNAPC1,0.0044606407,-0.017398158,1,4
AC087854.1,-0.0616086,-0.01754176,1,3
DSN1,-0.045894366,-0.01756105,1,4
AC090114.2,-0.028602252,-0.017613012,1,3
TMEM218,-0.059904154,-0.017629124,1,4
ZBTB38,-0.07126996,-0.017705765,1,5
ARHGAP24,-0.042744923,-0.017797202,1,4
SFXN4,-0.024218127,-0.017809235,1,4
SELENOM,-0.10947364,-0.017822012,1,4
R3HCC1L,-0.04467009,-0.017859213,1,4
PIGX,-0.020128302,-0.018030448,1,4
MINDY2,-0.06206889,-0.01804011,1,4
CPSF4,-0.040114004,-0.018135726,1,4
CXCL3,-0.0037506733,-0.018143013,1,3
ANKEF1,-0.041371178,-0.018153057,1,4
RTP4,-0.015940446,-0.018204674,1,3
AIM2,0.007648714,-0.018325023,1,3
CALCOCO1,0.053864032,-0.018493854,1,4
GMPR,-0.020717045,-0.018545277,1,3
THUMPD2,-0.039370097,-0.018588852,1,3
THAP8,-0.032070845,-0.018674236,1,4
HIST1H2BC,-0.0016258346,-0.01871435,1,4
PIGC,-0.05939425,-0.018870048,1,4
TLR10,0.03385918,-0.019031001,1,4
SYVN1,-0.049067512,-0.019125618,1,5
NINJ2,-0.0273381,-0.019143358,1,4
WRAP73,-0.05373928,-0.019292269,1,5
MYCBP,-0.028172234,-0.019315325,1,4
SDAD1,-0.10307073,-0.019334253,1,4
WDR59,-0.07723975,-0.019382674,1,4
TAF9,-0.030829402,-0.019424392,1,4
MEPCE,-0.08003168,-0.019461367,1,4
UTP23,-0.023905583,-0.01946553,1,4
CRELD1,-0.065433405,-0.019507255,1,4
TNFAIP8L3,-0.023262188,-0.01967972,1,4
ATAD2,-0.026531404,-0.01978582,1,4
KBTBD4,-0.023018628,-0.019813862,1,4
PRIM2,-0.030197024,-0.019866887,1,4
TLK1,-0.030298114,-0.019955203,1,4
RAB38,-0.0247674,-0.020030767,1,3
FRAT2,-0.034268107,-0.020109303,1,3
PACC1,-0.032821935,-0.020269567,1,4
MRPS30,-0.024730017,-0.020406794,1,3
TAOK2,0.0017550538,-0.020466171,1,4
RUVBL2,-0.021225184,-0.020560134,1,4
ALDH7A1,0.001434397,-0.020631615,1,4
SIN3B,-0.0024647426,-0.020707652,1,4
MRPL2,-0.05606084,-0.020725468,1,4
ELP4,-0.02810661,-0.020744083,1,5
POLR1C,-0.038041193,-0.020750016,1,4
ACCS,-0.068119496,-0.020769011,1,3
MPI,-0.029076958,-0.020830648,1,4
TFAM,0.009296499,-0.020842522,1,4
MCRS1,-0.07141029,-0.020941079,1,4
CCR5AS,0.00923315,-0.020999532,1,4
KHNYN,-0.076837055,-0.02102349,1,5
SSBP4,-0.14549355,-0.02102495,1,5
PNPT1,-0.03846303,-0.021170065,1,4
NKAPD1,0.033520166,-0.021215294,1,4
GTPBP2,-0.09141537,-0.021264426,1,4
INAFM1,0.0068802186,-0.021305338,1,5
PDE6G,0.067996934,-0.021377211,1,4
HEG1,-0.05327509,-0.021434786,1,3
YBX3,-0.05197565,-0.021525264,1,4
GPX7,-0.0032718133,-0.021533586,1,4
RIDA,-0.03488401,-0.02153573,1,5
CNOT11,-0.041374866,-0.02156418,1,4
GABARAPL1,-0.07847394,-0.021623954,1,4
GABPB2,-0.044326738,-0.021641215,1,3
VRK1,-0.059775602,-0.021670137,1,4
UTP3,-0.052995127,-0.021711227,1,4
POGLUT1,-0.028186215,-0.021781288,1,3
NUDT15,-0.003683703,-0.021785354,1,4
HAT1,-0.06722461,-0.021833967,1,4
TRMT10B,-0.02371513,-0.02192426,1,4
DNTTIP1,-0.045755878,-0.021960244,1,4
SERPINF2,-0.038600225,-0.021975577,1,4
IMPA1,-0.09284094,-0.02209584,1,4
PCNX1,-0.024644563,-0.022103999,1,4
COPS6,0.059682727,-0.022387728,1,4
LSM14A,-0.06297361,-0.022634491,1,4
PLOD2,-0.0037997377,-0.022685312,1,4
ACOT13,-0.032885622,-0.02274198,1,4
CD2,-0.060683977,-0.022842508,1,4
MAP2K5,-0.026773805,-0.02295668,1,4
ZNF672,-0.015662894,-0.022995338,1,4
TMEM19,-0.0033925015,-0.023020413,1,4
TMEM150B,-0.03048175,-0.023119502,1,3
TBC1D7,-0.02124024,-0.023430094,1,4
H1F0,-0.023615217,-0.023445502,1,4
CKS2,-0.099196106,-0.023569094,1,4
EHD1,-0.0891164,-0.023579404,1,4
HIGD1A,-0.054957945,-0.02362939,1,4
USP1,-0.026167559,-0.023707904,1,4
ST7,-0.05150929,-0.023728186,1,3
AP5M1,-0.019785976,-0.023752715,1,4
ITM2C,-0.044314772,-0.02384528,1,4
DDX23,-0.034971636,-0.024022903,1,4
HVCN1,-0.070279606,-0.024032071,1,5
KRT8,-0.021345655,-0.024300199,1,4
BIRC2,0.025014421,-0.024413487,1,5
LARS2,-0.070205726,-0.024427054,1,4
COG7,-0.05831276,-0.024428392,1,4
DHRS9,0.015369241,-0.024559768,1,4
DAPP1,0.03711156,-0.024665944,1,4
PLCG1,-0.028795017,-0.024666714,1,3
MTMR4,-0.047600325,-0.024733327,1,4
CENPQ,0.0069366344,-0.025124893,1,4
NOP58,-0.021778302,-0.025248148,1,4
KCNE3,0.012275645,-0.025257234,1,4
BCAP29,0.009384385,-0.025535017,1,4
CCL18,-0.035857085,-0.025629748,1,3
TMEM115,-0.075999536,-0.025714837,1,4
GABPB1,-0.0064330474,-0.025815455,1,4
AC005332.1,-0.028836206,-0.026014056,1,3
SH2B1,-0.021795342,-0.026170041,1,4
TYMSOS,-0.0443715,-0.026248723,1,4
YDJC,-0.028499693,-0.026382308,1,4
OXCT1,-0.0660889,-0.026460584,1,4
HMBS,-0.034015335,-0.026495239,1,4
SIGMAR1,0.040334653,-0.026594423,1,5
ABL1,-0.034844495,-0.02664829,1,3
AC016831.5,-0.06573811,-0.026734356,1,4
CCDC167,-0.065481655,-0.026769856,1,4
ARRDC1,0.04488318,-0.026781425,1,4
MGAT2,0.0012061695,-0.02681033,1,4
HPCAL1,0.043688655,-0.026876442,1,5
SNHG10,-0.10094192,-0.026935052,1,4
CBLB,-0.053664025,-0.026946757,1,4
P3H1,-0.14407343,-0.027016187,1,4
NSUN3,-0.046069194,-0.027295295,1,4
BTN3A1,-0.038133938,-0.027360994,1,4
TOR2A,-0.051682513,-0.02764585,1,4
VHL,-0.06533203,-0.0276751,1,4
HIST1H4J,-0.065484725,-0.027724171,1,4
CLDND1,-0.09694224,-0.027906217,1,4
RGS12,0.021508066,-0.028131321,1,5
DCUN1D5,0.0008920903,-0.028146975,1,4
EML4,0.037853375,-0.028502539,1,5
LACC1,-0.054009844,-0.02851047,1,4
HMGCL,-0.057413395,-0.028721865,1,4
ARHGEF18,-0.034644306,-0.028865386,1,3
IGBP1,-0.08007636,-0.029042758,1,5
SLC25A10,-0.034518328,-0.029084543,1,3
FLAD1,0.00417459,-0.029167358,1,5
AL391832.3,-0.041121792,-0.029345933,1,4
DCAF13,-0.061000127,-0.029360555,1,4
EIF1AD,-0.02679567,-0.02937223,1,4
KIAA0355,-0.036493346,-0.029498361,1,3
DPCD,-0.043028142,-0.029671332,1,4
MKRN1,-0.09446599,-0.029679753,1,4
B3GAT3,-0.0013090894,-0.029684415,1,4
HDAC1,-0.04472297,-0.029692419,1,4
C11orf80,-0.04356681,-0.02971372,1,3
RAD51AP1,0.0053341486,-0.029742153,1,4
NSMCE4A,0.045640737,-0.0297658,1,4
ACD,-0.03496624,-0.029893016,1,4
MAP3K2-DT,-0.0032650537,-0.029944772,1,4
SUMF1,-0.03617477,-0.030201692,1,4
SCAMP4,0.01592922,-0.030312203,1,4
MORN2,-0.14303912,-0.030558204,1,4
DGKE,-0.04432371,-0.030571891,1,4
RNF34,-0.04317071,-0.030915342,1,4
ALYREF,-0.010845597,-0.031018136,1,4
COQ5,-0.015933296,-0.031208022,1,5
SESTD1,-0.06726482,-0.031216573,1,3
SNHG7,-0.009179455,-0.03126439,1,4
SLC39A3,-0.040749345,-0.0313031,1,5
SLAMF7,-0.059076548,-0.031446062,1,3
ZMYM1,-0.048755348,-0.031860992,1,4
TSEN54,-0.06264505,-0.032034017,1,3
KIAA0513,-0.016082602,-0.03210686,1,4
NGRN,-0.035469156,-0.032158017,1,5
MYBBP1A,-0.051056843,-0.032235984,1,4
ORAI3,-0.037276417,-0.032263912,1,5
RDH11,-0.06395831,-0.032303654,1,4
SLC2A9,-0.055532444,-0.03236048,1,4
AUP1,-0.09037437,-0.032581434,1,5
CDK14,-0.028858982,-0.03277221,1,5
HEIH,-0.02136117,-0.032860845,1,5
ANKRD28,-0.049220603,-0.032961883,1,4
HIF1A-AS3,-0.048424795,-0.033127528,1,4
WDR55,-0.10341241,-0.033223674,1,4
C17orf49,-0.15614942,-0.03322856,1,5
RAMAC,-0.033969864,-0.033300042,1,4
PTCH2,-0.027608132,-0.033302292,1,4
TIMM29,-0.032917857,-0.033323586,1,4
FAM210A,0.013243536,-0.033373855,1,4
TMED1,-0.080318205,-0.03351571,1,4
CERS4,-0.008510868,-0.034080103,1,5
RBKS,-0.063742645,-0.03447032,1,4
ZNF7,-0.050437793,-0.034632206,1,3
C1GALT1C1,0.0016538277,-0.034827277,1,4
PPIF,0.0012117922,-0.03494189,1,5
MAP3K13,-0.12660132,-0.0349529,1,4
TVP23B,-0.016816374,-0.03496928,1,4
ANKRA2,-0.049253512,-0.03498092,1,4
CEP57,0.07555979,-0.035015576,1,4
GPR137,-0.04750962,-0.03503394,1,4
ZNF592,-0.09763158,-0.03507139,1,5
SAR1B,-0.09328691,-0.035110407,1,5
DTYMK,-0.06954579,-0.03517575,1,4
PEX13,-0.01781193,-0.03525774,1,4
MIR181A1HG,-0.09068751,-0.035307504,1,4
ZCCHC7,-0.08057385,-0.035319187,1,4
AC233723.1,-0.004904926,-0.035424806,1,4
GID8,-0.1636057,-0.035629332,1,4
COX15,-0.048506197,-0.035688587,1,5
SPN,-0.08690098,-0.035756808,1,4
C14orf28,-0.060142715,-0.03595481,1,4
ITGAE,-0.068044476,-0.035978246,1,4
HSPA9,-0.006139832,-0.036322944,1,5
PRPF38A,-0.04926637,-0.036354348,1,4
LINS1,-0.039489843,-0.0363933,1,4
MDK,-0.02518613,-0.036398146,1,5
RP9,-0.043228853,-0.0364276,1,4
PANK4,-0.06687362,-0.036673553,1,4
SNRNP27,-0.042654157,-0.03674332,1,5
AF213884.3,-0.039454956,-0.036804553,1,4
RAD51C,-0.04031013,-0.036992364,1,4
TACO1,-0.04385035,-0.037264276,1,4
EXT1,-0.108862855,-0.037326545,1,4
RAB24,-0.015183206,-0.037403457,1,4
PRELID2,-0.05551966,-0.037602887,1,4
DCP1B,-0.03316768,-0.037900396,1,4
CCDC34,-0.0961011,-0.03855332,1,4
DLEU2,-0.058431435,-0.039038107,1,4
USP4,-0.013156265,-0.039338604,1,5
SUCLG2,-0.057726514,-0.03935657,1,4
TMEM131L,-0.12884125,-0.03938143,1,4
LRRC41,-0.04286753,-0.039391913,1,4
ZC3H3,-0.09892136,-0.039430648,1,4
TIMM23,-0.054591585,-0.039525058,1,4
LRRC40,-0.05610572,-0.039704572,1,4
RARS,-0.008128713,-0.03973651,1,4
TAF7,-0.01866155,-0.039793663,1,5
NEU3,0.0034682527,-0.039831325,1,5
NOMO1,-0.12219098,-0.040344447,1,4
ANGEL2,0.0033209324,-0.04035185,1,5
SNN,0.06040306,-0.040360976,1,4
PGM3,-0.039069597,-0.040383574,1,4
SNCA,-0.10684129,-0.04061401,1,4
NFATC1,-0.06446142,-0.0406305,1,5
METTL7B,-0.060312133,-0.040667824,1,4
TFDP2,-0.061168168,-0.040690064,1,4
ATP2B1-AS1,-0.04372846,-0.04088352,1,4
C5orf24,-0.054856118,-0.041016705,1,4
SF3A2,-0.08033193,-0.04107681,1,5
TSR2,-0.055114895,-0.041115552,1,4
EXOSC5,-0.090505145,-0.04121807,1,4
SMIM29,0.022700766,-0.041239113,1,5
VIM,-0.24397075,-0.04128146,1,5
THOC3,-0.03111506,-0.041394006,1,4
ISCA2,-0.13014393,-0.04152187,1,3
EPC2,-0.045201365,-0.041554786,1,4
HYI,-0.049555928,-0.041579906,1,4
RIOK3,-0.10969754,-0.04165639,1,4
TIFA,-0.14681031,-0.041673567,1,5
SAMD9,-0.088341355,-0.041711405,1,5
IDI1,0.017406175,-0.04173652,1,4
RBM18,-0.050208796,-0.041788902,1,5
C16orf91,-0.020853473,-0.041928113,1,4
GSTM1,-0.030258046,-0.04195933,1,3
IBTK,0.0011237115,-0.041980386,1,5
SEC13,-0.066227295,-0.042401418,1,4
N4BP2L1,-0.0238522,-0.042581692,1,4
TMEM220,-0.066951744,-0.042597625,1,4
UPF3A,-0.14080924,-0.04303449,1,4
MACROD1,-0.040912632,-0.043138187,1,4
BARD1,-0.09343054,-0.04326714,1,4
TAPBPL,-0.055273425,-0.043557726,1,5
ASXL1,-0.08614394,-0.04363686,1,4
PDPK1,-0.033724967,-0.043663014,1,4
SPAG7,-0.07035097,-0.04375483,1,4
SKA2,-0.07352563,-0.043757677,1,5
NOC4L,-0.046967674,-0.043816663,1,3
CDCA7L,-0.03685458,-0.04415033,1,5
FAS,0.0010868944,-0.044243842,1,4
UCHL3,-0.022772588,-0.044385843,1,5
TICAM1,-0.071923375,-0.04447291,1,4
FOXN2,-0.043635517,-0.044605277,1,5
LRRFIP2,-0.018753175,-0.044699904,1,4
DUSP10,-0.09685782,-0.045070678,1,5
ZNF561,-0.021405302,-0.04524966,1,5
CMTM7,-0.049715202,-0.045297407,1,4
VTI1A,-0.038411323,-0.045425456,1,4
SLC44A2,-0.0063857003,-0.045693193,1,4
IP6K1,-0.0155756725,-0.045800645,1,4
GFPT1,-0.03660575,-0.04589126,1,5
ZFYVE19,-0.071837015,-0.04589758,1,4
LY75,-0.14397071,-0.04611145,1,4
IMPA2,-0.034854814,-0.04611198,1,5
VIM-AS1,-0.110811174,-0.046151668,1,4
AKTIP,-0.039907992,-0.046244457,1,4
ZBED5-AS1,-0.09303372,-0.046342418,1,4
RNF5,-0.065508656,-0.046672538,1,5
MATR3-1,0.008897501,-0.04672291,1,4
RAP1B,0.061767653,-0.047035366,1,5
MKS1,-0.06394327,-0.04705705,1,5
TMEM9,-0.081321575,-0.04720928,1,4
SDHAF2,-0.027508834,-0.047228217,1,5
CCDC22,0.016629547,-0.047369026,1,5
RNF6,-0.045963973,-0.04743917,1,4
ZNF518A,-0.08920198,-0.047469243,1,4
NSL1,-0.104906045,-0.047612444,1,4
PDE4DIP,0.008787247,-0.04762028,1,4
PPIL4,-0.07187253,-0.047754202,1,4
ITGB1BP1,-0.044587404,-0.047763795,1,4
ZCCHC10,-0.04292521,-0.047990546,1,4
PRXL2B,-0.09656164,-0.048004456,1,5
ZC3H14,-0.03496323,-0.048090328,1,5
UXS1,-0.0650327,-0.048134636,1,4
PKD2L1,-0.06455244,-0.04815557,1,5
TRIM33,-0.110965185,-0.04865448,1,5
YJU2,-0.072407685,-0.049173124,1,4
SNX15,-0.06286719,-0.049180888,1,4
ATG101,-0.07622006,-0.049344674,1,5
PPP4R1,-0.10190907,-0.04937833,1,5
ELP6,-0.05305239,-0.04956723,1,4
SPATA13,-0.089319296,-0.049956314,1,5
PSMD12,-0.07278573,-0.05000101,1,5
ZNF267,-0.083718754,-0.050480057,1,5
AIFM2,-0.062936746,-0.050661813,1,5
INPP4A,-0.06741424,-0.05082409,1,4
CLMN,-0.07948238,-0.050904557,1,4
AAMDC,-0.049810644,-0.051073037,1,4
MTFP1,-0.07965579,-0.051383197,1,4
ZNF432,-0.07073306,-0.051693156,1,4
SSB,-0.0937464,-0.051827937,1,4
SARNP,-0.08587744,-0.052017376,1,4
CST7,-0.040935393,-0.052349612,1,4
CEBPZOS,-0.13370408,-0.05237787,1,4
CDC42SE2,-0.055285204,-0.052682064,1,5
RANBP3,-0.0868681,-0.05280953,1,5
FURIN,-0.063704945,-0.052824326,1,4
OSER1,-0.07259461,-0.053002864,1,5
RRAGA,-0.04630019,-0.05301436,1,5
PDIA3,-0.05874837,-0.053425133,1,5
KLF11,-0.058549788,-0.0535401,1,4
LDLRAD3,-0.0390187,-0.05359384,1,5
ZFPL1,-0.10990385,-0.053949587,1,5
FBP1,-0.11058455,-0.05417209,1,4
CCDC159,-0.06760671,-0.054266818,1,5
CDK11A,0.022573056,-0.05454117,1,5
DIS3,-0.118433334,-0.054569162,1,5
ARHGAP31,-0.061576042,-0.055084735,1,5
LSM8,-0.09043211,-0.055142134,1,5
RBP1,-0.02618467,-0.055162027,1,4
RAVER1,-0.05337824,-0.055389974,1,4
AP3S1,-0.11321477,-0.05621355,1,5
IL32,-0.019411027,-0.056462534,1,5
DYRK4,-0.047583506,-0.056996264,1,5
DNAAF1,-0.072884716,-0.05715936,1,4
PPARG,-0.056564886,-0.057171486,1,5
GNPAT,-0.04832022,-0.057332806,1,5
DESI1,-0.06394378,-0.057660274,1,5
PATL2,-0.09287786,-0.057814833,1,4
RHNO1,-0.055941686,-0.058313113,1,4
PPWD1,-0.016979529,-0.058407478,1,5
SCIMP,-0.07106928,-0.058697566,1,5
TRIM69,-0.04027951,-0.059082657,1,4
TRG-AS1,-0.07504324,-0.05935934,1,4
OAZ2,-0.0008876771,-0.059564576,1,5
PGLS,-0.038826365,-0.05975239,1,5
EMP2,-0.083971016,-0.05995643,1,4
SH3BP5,-0.0632232,-0.06018846,1,4
ARHGAP10,-0.07620961,-0.060219474,1,5
WDR60,-0.07778544,-0.060592666,1,5
GPANK1,-0.08661877,-0.06065243,1,5
STARD5,-0.053905938,-0.060711518,1,4
GALE,-0.073786505,-0.060792,1,5
CUL9,-0.09481055,-0.06110132,1,4
ZNF844,-0.05528021,-0.06115543,1,4
CKAP2,-0.04935819,-0.061313555,1,4
UCK2,-0.0069818445,-0.061382115,1,5
ATP2B4,-0.0714896,-0.06148836,1,4
UBE3A,-0.05426942,-0.061553888,1,5
PAX8,-0.078537524,-0.061666608,1,4
DONSON,-0.083351634,-0.06197577,1,4
CPM,-0.15136984,-0.06224996,1,5
PGP,-0.028780939,-0.06234774,1,5
BAIAP2,-0.04912536,-0.062419236,1,5
ACTR1A,-0.02002033,-0.062433925,1,5
MGST2,-0.07713636,-0.06277966,1,5
ZNF217,-0.0993692,-0.0637628,1,4
ZNF76,-0.07875139,-0.06387638,1,4
UIMC1,-0.08177042,-0.06388348,1,4
FABP4,-0.077958025,-0.06400239,1,4
KIF22,-0.13157666,-0.06407958,1,4
CXCL2,-0.08049369,-0.0643047,1,4
PCMT1,-0.15153717,-0.064442,1,5
PTAFR,-0.06716104,-0.064479575,1,5
CBWD2,0.024338134,-0.0646469,1,4
KANSL1-AS1,-0.011262109,-0.06466321,1,5
KDM5B,-0.06672991,-0.064814545,1,4
PTRH2,-0.1298468,-0.06524511,1,5
OTUD5,-0.040336683,-0.06557299,1,5
STARD3NL,0.0042749993,-0.06569666,1,5
SERTAD3,-0.12183384,-0.06580104,1,4
PPP1R11,-0.120843165,-0.06581878,1,4
FAM89B,-0.09301299,-0.066030785,1,5
PYURF,-0.09991002,-0.06626053,1,5
TBC1D2,-0.05289692,-0.06641903,1,4
LAMTOR3,-0.120669514,-0.06643199,1,5
C12orf76,-0.07393494,-0.06644294,1,4
AC087741.1,-0.10282264,-0.06672718,1,4
AK6,-0.098694496,-0.06683506,1,4
STRN,-0.06305033,-0.06745653,1,5
VRK2,-0.10138247,-0.067737535,1,4
TANGO2,-0.04343,-0.068030566,1,5
SMIM12,-0.11018098,-0.06832749,1,5
MRPL22,-0.081030704,-0.06836487,1,5
TMEM173,-0.07889914,-0.06872102,1,4
ZDHHC12,-0.11667208,-0.06874945,1,5
DPEP2,-0.09845084,-0.06964783,1,4
CYP27A1,0.044555247,-0.06976404,1,5
SECISBP2,-0.11872369,-0.069936514,1,5
SAYSD1,-0.035224166,-0.070529476,1,5
KTN1,-0.0690127,-0.07107821,1,5
AC244090.1,-0.07948095,-0.07154044,1,5
RGCC,-0.08999554,-0.07168466,1,5
CCT2,-0.13237083,-0.07168742,1,4
NIBAN1,-0.034428578,-0.07246293,1,5
NUDT14,-0.12338791,-0.07271224,1,5
GPAT3,-0.07537804,-0.072736084,1,5
LSM1,-0.053675916,-0.073063806,1,5
DHRS4L2,-0.07292583,-0.073200226,1,5
MCRIP1,-0.05870548,-0.074011706,1,5
ZMYM2,-0.09566211,-0.074278064,1,5
SAR1A,-0.041056335,-0.07452169,1,5
DDRGK1,-0.067127086,-0.074885435,1,5
G3BP2,-0.093810745,-0.07502633,1,5
FARP1,-0.11383321,-0.075906545,1,5
LRP10,-0.16284104,-0.0760954,1,5
CHST12,-0.097394705,-0.07728591,1,5
RBIS,-0.041911352,-0.07739918,1,5
ZFYVE21,-0.0444645,-0.07778605,1,5
ISG20,-0.11378604,-0.07826858,1,5
CCDC58,-0.08251028,-0.078465626,1,5
DLGAP1-AS1,-0.039190102,-0.07861793,1,5
PABPC4,-0.1071504,-0.079567805,1,5
ATG2B,-0.09973011,-0.079670034,1,5
NDFIP1,-0.061659902,-0.07997854,1,5
FADD,-0.09208145,-0.08062274,1,5
PTPRCAP,-0.18503076,-0.08102284,1,4
ZMYM4,-0.14147194,-0.08120237,1,5
CMPK1,-0.1029132,-0.08183394,1,5
WBP1,-0.08496275,-0.08196459,1,5
IL2RG,-0.011564136,-0.0820002,1,5
TOR3A,-0.099052824,-0.083705574,1,5
SCCPDH,-0.09539374,-0.08371104,1,5
AC096667.1,-0.10799607,-0.084175915,1,4
C1QBP,-0.1617402,-0.084421165,1,5
GET3,-0.14713795,-0.08452505,1,5
VAPA,-0.02681572,-0.085202545,1,4
RNF7,-0.122715615,-0.08520353,1,5
LILRB3,-0.09179369,-0.08534028,1,5
CCS,-0.10529188,-0.08644639,1,5
MGLL,-0.041802574,-0.087514624,1,5
SCAMP3,-0.06315074,-0.08772683,1,5
ANKRD37,-0.023430273,-0.08796029,1,5
CDK16,-0.07175545,-0.08803235,1,5
C1D,-0.08474225,-0.08812417,1,4
ADIPOR2,-0.15987082,-0.08841893,1,5
SERPINB8,-0.09707132,-0.088539705,1,4
IER3IP1,-0.11616784,-0.08867347,1,5
RNF13,-0.11370892,-0.08971104,1,5
TMEM243,-0.18541825,-0.089835525,1,5
RHEB,-0.16243176,-0.08985225,1,5
SHMT2,-0.12758717,-0.09106435,1,5
PIN4,-0.1514102,-0.091151714,1,5
FAM91A1,-0.102000415,-0.09123367,1,5
SUCLG1,-0.15065692,-0.09168442,1,5
CCDC92,-0.07198227,-0.09242487,1,5
S100A8,-0.19830269,-0.09303695,1,5
PHB,-0.10116574,-0.0930726,1,5
TXNDC9,-0.115843,-0.09323735,1,5
THUMPD3-AS1,-0.093946785,-0.09337115,1,4
TNFAIP8,-0.2039575,-0.093971424,1,5
ABHD5,-0.08408207,-0.094798565,1,4
NECTIN2,-0.1199584,-0.094807215,1,5
PPP5C,-0.099722765,-0.0949008,1,5
ENOSF1,-0.09738755,-0.09589654,1,5
PPM1B,-0.11248693,-0.09651534,1,5
CD58,-0.1451231,-0.09916431,1,5
SLC30A5,-0.08197687,-0.09934299,1,5
NUTM2A-AS1,-0.20676893,-0.099453494,1,5
HMGN2,0.0812139,-0.09949568,1,5
PHYKPL,-0.12559813,-0.10070888,1,5
CSTB,-0.017464438,-0.10206252,1,5
NIPSNAP2,-0.16387211,-0.103337206,1,5
ALKBH7,-0.11426968,-0.10437258,1,5
BX284668.5,-0.12400714,-0.10613559,1,5
COPS2,-0.13134582,-0.10744615,1,5
TMEM60,-0.12988883,-0.108749144,1,5
IL4I1,-0.11505736,-0.10911472,1,5
BORCS5,-0.13210653,-0.10960003,1,4
MRPS7,-0.08918958,-0.10976675,1,5
SMCO4,-0.074284196,-0.109968424,1,5
EMC7,-0.071198195,-0.112607054,1,5
STK17A,-0.11324688,-0.11638136,1,4
PLA2G7,-0.081489794,-0.1164292,1,5
MIS18BP1,-0.23173702,-0.11784577,1,5
CDK12,-0.11907216,-0.12036857,1,5
EPSTI1,-0.043049473,-0.12114385,1,5
DAD1,-0.1450064,-0.12150589,1,5
LPL,-0.10553243,-0.12432396,1,5
STK4,-0.204356,-0.12529348,1,5
EMC4,-0.15179092,-0.12531051,1,5
MED10,-0.0908167,-0.12628189,1,4
EMG1,-0.12909727,-0.12662555,1,4
SHTN1,-0.11772215,-0.12725538,1,4
ARFIP2,-0.11192209,-0.1273335,1,5
LCMT1,-0.19067635,-0.12769541,1,5
TMEM205,-0.14233331,-0.12909348,1,5
MPC2,-0.09201417,-0.1307509,1,5
HPS1,-0.17970736,-0.13216874,1,5
FAM162A,-0.21143089,-0.13347375,1,5
TXNL1,-0.15163994,-0.13494876,1,5
PIM3,-0.15379886,-0.13523072,1,5
CUL4A,-0.14448233,-0.13593747,1,5
UQCRC1,-0.24201338,-0.1388734,1,5
CCNH,-0.19779581,-0.14014304,1,5
SS18L2,-0.18321641,-0.1423041,1,5
CYTIP,-0.16481277,-0.14388962,1,5
ATF7IP2,-0.15702891,-0.14472623,1,5
TNFRSF14,-0.27452993,-0.14624774,1,5
DBI,-0.16278474,-0.15154687,1,5
SIVA1,-0.20713516,-0.15327767,1,5
RNH1,-0.12513803,-0.15338483,1,5
GRINA,-0.029173136,-0.1541,1,5
EFCAB14,-0.11124719,-0.15704076,1,5
ASAH1,0.1354296,-0.15873462,1,5
TM6SF1,-0.16371514,-0.15908238,1,5
DBNDD2,-0.11549731,-0.16029623,1,5
ABRACL,-0.12836109,-0.16356046,1,5
BHLHE41,-0.061577525,-0.16367191,1,5
RER1,-0.21539545,-0.16384472,1,5
FPGS,-0.19200905,-0.16413812,1,5
RAB20,-0.17363046,-0.16419153,1,5
ACP5,-0.13839796,-0.16524997,1,4
RBBP6,-0.20318215,-0.16759004,1,5
IFI30,0.1396048,-0.16796088,1,5
YPEL5,-0.23070395,-0.17097242,1,5
OLR1,-0.09650933,-0.17298062,1,5
SLC19A2,-0.16447031,-0.17705673,1,4
TNFAIP3,-0.26363477,-0.17778705,1,5
NFKBIA,-0.18902619,-0.1793325,1,5
SDS,-0.24010478,-0.18283404,1,5
TXNIP,-0.24658318,-0.18624079,1,5
ELOC,-0.17042147,-0.18667074,1,5
SF3B6,-0.23256314,-0.18785942,1,5
TMEM18,-0.20984925,-0.18967563,1,5
PDE4B,-0.2246449,-0.19017425,1,5
RBM23,-0.219576,-0.1910612,1,5
PRKAR1A,-0.22176303,-0.19350588,1,5
SEC11A,-0.24925542,-0.19377677,1,4
IFITM1,-0.28869852,-0.20367554,1,5
MRPL55,-0.2701861,-0.20806673,1,5
CD9,-0.22513525,-0.20821962,1,5
PKN2,-0.23924553,-0.21162654,1,4
RPS27L,-0.1936932,-0.21528536,1,5
HLA-DRA,-0.16367233,-0.23661232,1,5
FTH1,-0.3031262,-0.2422018,1,5
RTRAF,-0.31490213,-0.25046152,1,5
LITAF,-0.21415722,-0.2567127,1,5
NOP53,-0.30481628,-0.266627,1,5
BABAM1,-0.2416612,-0.27142325,1,5
